service,usage_type,region,resource_id,month,cost_usd,prev_month_usd,delta_usd
EC2,BoxUsage:c6i.4xlarge,us-east-1,i-04abc123,2026-03,18420.55,4250.00,14170.55
EC2,DataTransfer-Out,us-east-1,-,2026-03,9210.00,1840.00,7370.00
EC2-Other,NatGateway-Bytes,us-east-1,nat-0a1b2c3d,2026-03,38420.10,2410.00,36010.10
S3,TimedStorage-ByteHrs,us-east-1,bkt-prod-events,2026-03,7820.00,7610.00,210.00
RDS,InstanceUsage:db.r6g.4xl,us-east-1,prod-pg-1,2026-03,12420.00,12100.00,320.00
CloudWatch,Logs-Ingestion,us-east-1,-,2026-03,4180.00,910.00,3270.00
Lambda,Invocation-Requests,us-east-1,-,2026-03,2180.00,2050.00,130.00
DynamoDB,WriteCapacityUnit-Hrs,us-east-1,table-events,2026-03,1880.00,1840.00,40.00
ElastiCache,NodeUsage:cache.r6g.large,us-east-1,redis-prod,2026-03,1240.00,1200.00,40.00
GuardDuty,FlowLogsAnalyzed-VPCFlowBytes,us-east-1,-,2026-03,3220.00,420.00,2800.00
